frame,timestamp,x_A,y_A,activity_roi_A,hit_A,x_B,y_B,activity_roi_B,hit_B,hits_total,condicion
153,5.6050000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
154,5.6280000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
155,5.6539999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
156,5.6849999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
157,5.7350000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
158,5.7770000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
159,5.8170000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
160,5.8390000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
161,5.8609999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
162,5.8920000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
163,5.9240000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
164,5.9569999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
165,5.9939999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
166,6.0389999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
167,6.0609999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
168,6.0860000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
169,6.1379999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
170,6.1669999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
171,6.1989999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
172,6.2430000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
173,6.2690000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
174,6.2930000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
175,6.3250000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
176,6.3789999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
177,6.4400000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
178,6.5229999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
179,6.5439999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
180,6.5759999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
181,6.6029999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
182,6.6299999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
183,6.6600000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
184,6.6920000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
185,6.726,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
186,6.7560000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
187,6.7880000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
188,6.8209999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
189,6.8529999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
190,6.8849999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
191,6.9320000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
192,6.9640000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
193,6.9980000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
194,7.0289999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
195,7.0609999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
196,7.093,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
197,7.125,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
198,7.157,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
199,7.1890000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
200,7.2220000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
201,7.2539999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
202,7.2859999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
203,7.3339999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
204,7.3650000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
205,7.3970000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
206,7.4299999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
207,7.4610000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
208,7.492,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
209,7.5250000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
210,7.5579999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
211,7.5899999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
212,7.6210000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
213,7.6520000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
214,7.6840000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
215,7.734,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
216,7.766,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
217,7.7969999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
218,7.8280000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
219,7.8609999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
220,7.8929999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
221,7.9240000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
222,7.9569999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
223,7.9889999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
224,8.0210000000000008,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
225,8.0530000000000008,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
226,8.0850000000000009,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
227,8.1319999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
228,8.1639999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
229,8.1959999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
230,8.2279999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
231,8.2609999999999992,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
232,8.2929999999999993,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
233,8.3249999999999993,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
234,8.3569999999999993,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
235,8.3879999999999999,NaN,NaN,False,False,407.666656,238.666672,False,False,0,competicion
236,8.4209999999999994,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
237,8.452,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
238,8.4849999999999994,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
239,8.5350000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
240,8.5660000000000007,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
241,8.5960000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
242,8.6289999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
243,8.6609999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
244,8.6959999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
245,8.7319999999999993,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
246,8.7560000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
247,8.7919999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
248,8.8300000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
249,8.8539999999999992,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
250,8.8849999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
251,8.9320000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
252,8.9649999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
253,8.9969999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
254,9.0289999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
255,9.0630000000000006,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
256,9.0969999999999995,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
257,9.1240000000000006,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
258,9.1600000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
259,9.2050000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
260,9.2260000000000009,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
